id,pair_id,synapse_type,latency,psp_amplitude,psp_rise_time,psp_decay_tau,psc_amplitude,psc_rise_time,psc_decay_tau,meta
6121,188135,in,,,0.00775770358934416,0.0771941158124556,,0.00279967064225295,0.00752477020340944,
6151,188057,in,,,0.00948897298504009,0.200651299704757,,0.00144214328336591,0.0037008164097066,
3305,147286,ex,,,,,,,,
600,42179,in,,,,,,,,
3168,140723,ex,0.0010140974202552,0.000336638115807033,0.00492803763732013,0.00890341472926788,-5.99384013664167e-12,0.0028138501871323,0.00250872247669944,
6180,187911,ex,0.0017874073572913,6.46681673011738e-05,0.00318344804173309,0.0140255364228658,-1.4394633284788e-12,0.0012315633787407,0.00200862816390911,
3290,147289,in,0.00060887654739969,-0.000279767018093332,0.00662285498743504,0.120336092348066,4.6200453717939e-12,,,
607,42175,in,,,,,,,,
6162,187992,in,0.00118667023781752,-0.000125787016155184,0.0067519392279835,0.0628338990489524,2.30545007765226e-12,,,
6133,188081,in,0.00102536832641373,-0.000185624688209599,0.00813581816549604,0.0777064331003777,2.13696895154233e-12,,,
3193,140841,ex,0.00139899016264583,0.000115746357073848,0.00261270654216809,0.0253221693068009,-3.16699583331274e-12,0.00128650809436823,0.00104924184483014,
6105,188151,ex,0.00118922108158905,5.41435241023718e-05,0.00157403231690075,0.0194403412169471,-1.36115588868525e-12,0.00047960502645961,0.00316427647270147,
4192,92831,in,,,0.00611474744939354,0.00947742356842996,,0.00170807197124632,0.00341563746411681,
6091,188195,ex,0.00191619572891273,9.59043860487485e-05,0.00372400435343675,0.0155245613531517,-8.17680960205739e-23,0.0017131910002691,0.00395582479966214,
3077,138934,ex,0.00101301656102047,0.000437184013299598,0.00247968414555978,0.0105242235558511,-5.32244000271832e-12,0.00170568621101492,0.00223449819209353,
621,43125,in,,,,,,,,
622,43122,ex,,,,,,,,
4183,92839,in,0.00213084883655788,-0.000355633287394161,0.00871142079976264,0.0616501944829665,4.24135728948917e-12,0.00416000821418358,0.00714394147283347,
4205,92828,in,0.00161638101707017,-0.000213998480913916,0.012405149773914,0.499663921766065,3.48662923888639e-12,0.0034034218349694,0.0114395757170131,
4210,92810,in,0.00115869135020083,-0.000126714536037808,0.00608424765414907,0.0079789557775966,6.08243511528957e-12,0.0012287423711309,0.00309279090587189,
635,44188,in,,,,,,,,
640,43057,ex,,,0.00523254545667145,0.0220116759437176,,0.00302145048885586,0.00269749668398045,
3809,36215,ex,,,,,,,,
655,44513,in,,,,,,,,
5168,35400,in,,,0.00708359655130708,0.098331362661729,,0.00181648274614817,0.00346191366513858,
638,44145,in,0.000509584946196458,-0.00162154980604807,0.00388599296788289,0.0280897349720613,2.44710181077664e-11,,,
650,44698,ex,0.00167390970111973,0.00180300523699737,0.00377985041360999,0.0105368620832605,-2.45779572458642e-11,0.00229429351566536,0.00173376233326526,
